in:dy_4,in:dx_0,in:dy_0,out:Displacement,out:Mass,img
-0.6,-0.6,0.4,0.385997,130.767443,dy_4-0.6_dx_0-0.6_dy_00.4.png
0.6,-0.6,0.4,0.146094,139.471967,dy_40.6_dx_0-0.6_dy_00.4.png
1.8,-0.6,0.4,0.059024,171.833309,dy_41.8_dx_0-0.6_dy_00.4.png
3,-0.6,0.4,0.053391,214.701535,dy_43_dx_0-0.6_dy_00.4.png
-3,-0.2,0.4,0.051061,184.72812,dy_4-3_dx_0-0.2_dy_00.4.png
-1.8,-0.2,0.4,0.052794,143.358744,dy_4-1.8_dx_0-0.2_dy_00.4.png
-0.6,-0.2,0.4,0.359129,119.427401,dy_4-0.6_dx_0-0.2_dy_00.4.png
0.6,-0.2,0.4,0.14405,130.243997,dy_40.6_dx_0-0.2_dy_00.4.png
1.8,-0.2,0.4,0.064729,164.820298,dy_41.8_dx_0-0.2_dy_00.4.png
3,-0.2,0.4,0.059344,208.914763,dy_43_dx_0-0.2_dy_00.4.png
-3,0.2,0.4,0.061759,180.118669,dy_4-3_dx_00.2_dy_00.4.png
-1.8,0.2,0.4,0.064726,136.543211,dy_4-1.8_dx_00.2_dy_00.4.png
-0.6,0.2,0.4,0.300478,109.452905,dy_4-0.6_dx_00.2_dy_00.4.png
0.6,0.2,0.4,0.156798,123.428464,dy_40.6_dx_00.2_dy_00.4.png
1.8,0.2,0.4,0.07185,160.210847,dy_41.8_dx_00.2_dy_00.4.png
3,0.2,0.4,0.0657,205.318171,dy_43_dx_00.2_dy_00.4.png
-3,0.6,0.4,0.069905,177.299335,dy_4-3_dx_00.6_dy_00.4.png
-1.8,0.6,0.4,0.076513,131.970083,dy_4-1.8_dx_00.6_dy_00.4.png
-0.6,0.6,0.4,0.213528,100.033739,dy_4-0.6_dx_00.6_dy_00.4.png
0.6,0.6,0.4,0.183799,118.855336,dy_40.6_dx_00.6_dy_00.4.png
1.8,0.6,0.4,0.07879,157.391513,dy_41.8_dx_00.6_dy_00.4.png
3,0.6,0.4,0.071256,203.1746,dy_43_dx_00.6_dy_00.4.png
-3,1,0.4,0.0761,150.014038,dy_4-3_dx_01_dy_00.4.png
-1.8,1,0.4,0.084619,117.04943,dy_4-1.8_dx_01_dy_00.4.png
-0.6,1,0.4,0.429425,45.438949,dy_4-0.6_dx_01_dy_00.4.png
0.6,1,0.4,0.224532,103.934683,dy_40.6_dx_01_dy_00.4.png
1.8,1,0.4,0.085872,130.106216,dy_41.8_dx_01_dy_00.4.png
3,1,0.4,0.076963,163.070824,dy_43_dx_01_dy_00.4.png
-3,-1,1.2,0.048435,208.454713,dy_4-3_dx_0-1_dy_01.2.png
-1.8,-1,1.2,0.060542,167.978856,dy_4-1.8_dx_0-1_dy_01.2.png
-0.6,-1,1.2,0.224762,140.189125,dy_4-0.6_dx_0-1_dy_01.2.png
0.6,-1,1.2,0.304391,137.698367,dy_40.6_dx_0-1_dy_01.2.png
1.8,-1,1.2,0.061582,162.164725,dy_41.8_dx_0-1_dy_01.2.png
3,-1,1.2,0.048566,201.215545,dy_43_dx_0-1_dy_01.2.png
-3,-0.6,1.2,0.101559,200.867195,dy_4-3_dx_0-0.6_dy_01.2.png
-1.8,-0.6,1.2,0.111021,158.839892,dy_4-1.8_dx_0-0.6_dy_01.2.png
-0.6,-0.6,1.2,0.258387,128.916812,dy_4-0.6_dx_0-0.6_dy_01.2.png
0.6,-0.6,1.2,0.233245,125.878669,dy_40.6_dx_0-0.6_dy_01.2.png
1.8,-0.6,1.2,0.081987,152.343968,dy_41.8_dx_0-0.6_dy_01.2.png
3,-0.6,1.2,0.091168,193.189682,dy_43_dx_0-0.6_dy_01.2.png
-3,-0.2,1.2,0.100752,196.89141,dy_4-3_dx_0-0.2_dy_01.2.png
-1.8,-0.2,1.2,0.111408,153.367763,dy_4-1.8_dx_0-0.2_dy_01.2.png
-0.6,-0.2,1.2,0.308738,120.881963,dy_4-0.6_dx_0-0.2_dy_01.2.png
0.6,-0.2,1.2,0.223086,117.023477,dy_40.6_dx_0-0.2_dy_01.2.png
1.8,-0.2,1.2,0.116527,146.134722,dy_41.8_dx_0-0.2_dy_01.2.png
3,-0.2,1.2,0.105071,188.811604,dy_43_dx_0-0.2_dy_01.2.png
-3,0.2,1.2,0.092586,194.123684,dy_4-3_dx_00.2_dy_01.2.png
-1.8,0.2,1.2,0.104674,149.311815,dy_4-1.8_dx_00.2_dy_01.2.png
-0.6,0.2,1.2,0.339428,113.941883,dy_4-0.6_dx_00.2_dy_01.2.png
0.6,0.2,1.2,0.323289,108.785679,dy_40.6_dx_00.2_dy_01.2.png
1.8,0.2,1.2,0.107251,141.364333,dy_41.8_dx_00.2_dy_01.2.png
3,0.2,1.2,0.094444,185.714232,dy_43_dx_00.2_dy_01.2.png
-3,0.6,1.2,0.087057,192.433214,dy_4-3_dx_00.6_dy_01.2.png
-1.8,0.6,1.2,0.100105,146.731814,dy_4-1.8_dx_00.6_dy_01.2.png
-0.6,0.6,1.2,0.360265,108.696437,dy_4-0.6_dx_00.6_dy_01.2.png
0.6,0.6,1.2,0.358855,101.542586,dy_40.6_dx_00.6_dy_01.2.png
1.8,0.6,1.2,0.100792,138.236948,dy_41.8_dx_00.6_dy_01.2.png
3,0.6,1.2,0.087598,183.805378,dy_43_dx_00.6_dy_01.2.png
-3,1,1.2,0.086937,157.019304,dy_4-3_dx_01_dy_01.2.png
-1.8,1,1.2,0.09991,124.054697,dy_4-1.8_dx_01_dy_01.2.png
-0.6,1,1.2,0.378049,97.883164,dy_4-0.6_dx_01_dy_01.2.png
0.6,1,1.2,0.377848,93.530902,dy_40.6_dx_01_dy_01.2.png
1.8,1,1.2,0.099895,119.702435,dy_41.8_dx_01_dy_01.2.png
3,1,1.2,0.086926,152.667042,dy_43_dx_01_dy_01.2.png
